"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate	Age Adjusted Rate	Age Adjusted Rate Lower 95% Confidence Interval	Age Adjusted Rate Upper 95% Confidence Interval
	"Iowa County, IA"	"19095"	1809	162709	1111.8	704.7	670.7	738.6
	"Jackson County, IA"	"19097"	2248	195578	1149.4	757.9	725.3	790.6
	"Jasper County, IA"	"19099"	3776	368337	1025.1	714.5	691.0	738.0
	"Jefferson County, IA"	"19101"	1632	175403	930.4	664.0	630.0	698.1
	"Johnson County, IA"	"19103"	6911	1424087	485.3	577.1	563.2	590.9
	"Jones County, IA"	"19105"	2035	205816	988.7	645.3	616.3	674.3
	"Keokuk County, IA"	"19107"	1165	102729	1134.1	692.2	650.0	734.3
	"Kossuth County, IA"	"19109"	1842	151827	1213.2	642.9	611.0	674.9
	"Lee County, IA"	"19111"	4378	349779	1251.6	872.9	846.1	899.6
	"Linn County, IA"	"19113"	17240	2192565	786.3	677.5	667.2	687.7
	"Louisa County, IA"	"19115"	1085	112192	967.1	750.2	704.7	795.7
	"Lucas County, IA"	"19117"	1125	87060	1292.2	780.0	732.1	827.9
	"Lyon County, IA"	"19119"	1124	117260	958.6	637.2	598.3	676.2
	"Madison County, IA"	"19121"	1479	158370	933.9	724.6	687.0	762.3
	"Mahaska County, IA"	"19123"	2338	222976	1048.5	733.9	703.0	764.7
	"Marion County, IA"	"19125"	3370	332928	1012.2	753.8	727.9	779.7
	"Marshall County, IA"	"19127"	4769	405041	1177.4	833.5	809.1	857.9
	"Mills County, IA"	"19129"	1402	149671	936.7	775.5	733.9	817.2
	"Mitchell County, IA"	"19131"	1350	107153	1259.9	649.0	611.7	686.2
	"Monona County, IA"	"19133"	1474	89634	1644.5	866.3	817.2	915.4
	"Monroe County, IA"	"19135"	1050	79287	1324.3	892.9	837.1	948.7
	"Montgomery County, IA"	"19137"	1510	103307	1461.7	844.6	799.5	889.7
	"Muscatine County, IA"	"19139"	4065	428602	948.4	783.1	758.6	807.6
	"O'Brien County, IA"	"19141"	1937	140278	1380.8	747.1	711.2	783.0
	"Osceola County, IA"	"19143"	715	61702	1158.8	694.9	640.1	749.8
	"Page County, IA"	"19145"	2055	155339	1322.9	775.8	740.3	811.3
	"Palo Alto County, IA"	"19147"	1309	91486	1430.8	783.6	737.3	829.9
	"Plymouth County, IA"	"19149"	2439	250112	975.2	669.5	642.1	696.9
	"Pocahontas County, IA"	"19151"	974	70031	1390.8	760.7	709.1	812.4
	"Polk County, IA"	"19153"	33920	4624239	733.5	745.8	737.8	753.9
	"Pottawattamie County, IA"	"19155"	9171	932823	983.1	792.1	775.6	808.6
	"Poweshiek County, IA"	"19157"	2225	186323	1194.2	750.2	717.3	783.2
	"Ringgold County, IA"	"19159"	799	50501	1582.1	797.8	735.9	859.6
	"Sac County, IA"	"19161"	1384	100004	1383.9	730.2	687.9	772.5
	"Scott County, IA"	"19163"	14898	1706225	873.2	744.3	732.2	756.5
	"Shelby County, IA"	"19165"	1456	118571	1228.0	656.8	620.2	693.4
	"Sioux County, IA"	"19167"	2541	345559	735.3	551.0	528.7	573.3
	"Story County, IA"	"19169"	5158	942659	547.2	589.6	573.2	606.1
	"Tama County, IA"	"19171"	2085	173497	1201.7	770.9	736.1	805.7
	"Taylor County, IA"	"19173"	802	62045	1292.6	725.8	672.5	779.2
	"Union County, IA"	"19175"	1464	124711	1173.9	786.9	744.7	829.0
	"Van Buren County, IA"	"19177"	935	73269	1276.1	815.8	761.6	870.1
	"Wapello County, IA"	"19179"	4159	352388	1180.2	866.0	839.0	892.9
	"Warren County, IA"	"19181"	4035	486142	830.0	714.3	692.0	736.6
	"Washington County, IA"	"19183"	2440	220473	1106.7	715.4	685.8	745.1
	"Wayne County, IA"	"19185"	871	64008	1360.8	781.1	725.0	837.3
	"Webster County, IA"	"19187"	4455	369571	1205.5	863.4	837.3	889.6
	"Winnebago County, IA"	"19189"	1291	106067	1217.2	695.6	655.0	736.3
	"Winneshiek County, IA"	"19191"	1886	206394	913.8	572.8	545.6	600.0
	"Woodbury County, IA"	"19193"	9500	1025041	926.8	828.1	811.2	845.0
	"Worth County, IA"	"19195"	872	75270	1158.5	739.2	687.5	790.8
	"Wright County, IA"	"19197"	1648	128688	1280.6	704.2	667.2	741.2
	"Allen County, KS"	"20001"	1755	128817	1362.4	913.8	869.1	958.6
	"Anderson County, KS"	"20003"	997	79073	1260.9	796.7	744.4	849.1
	"Atchison County, KS"	"20005"	1788	165168	1082.5	849.3	809.0	889.6
	"Barber County, KS"	"20007"	610	47450	1285.6	839.1	768.1	910.1
	"Barton County, KS"	"20009"	2969	270210	1098.8	775.1	746.0	804.2
	"Bourbon County, KS"	"20011"	1903	147949	1286.3	899.3	857.1	941.5
	"Brown County, KS"	"20013"	1286	97950	1312.9	886.2	835.4	937.0
	"Butler County, KS"	"20015"	6334	663874	954.1	831.6	810.8	852.4
	"Chase County, KS"	"20017"	353	27064	1304.3	775.9	689.1	862.7
	"Chautauqua County, KS"	"20019"	548	34555	1585.9	885.8	803.8	967.8
	"Cherokee County, KS"	"20021"	2724	206827	1317.0	1012.0	973.2	1050.8
	"Cheyenne County, KS"	"20023"	372	26849	1385.5	647.6	571.9	723.4
	"Clark County, KS"	"20025"	326	21047	1548.9	854.6	753.0	956.2
	"Clay County, KS"	"20027"	1030	82809	1243.8	714.1	666.9	761.3
	"Cloud County, KS"	"20029"	1360	91847	1480.7	860.6	811.6	909.7
	"Coffey County, KS"	"20031"	1018	83934	1212.9	836.9	783.6	890.1
	"Comanche County, KS"	"20033"	319	18540	1720.6	1034.0	911.7	1156.2
	"Cowley County, KS"	"20035"	4371	358066	1220.7	920.2	892.1	948.3
	"Crawford County, KS"	"20037"	4271	391535	1090.8	910.2	882.0	938.3
	"Decatur County, KS"	"20039"	493	28932	1704.0	781.8	700.9	862.8
	"Dickinson County, KS"	"20041"	2379	192710	1234.5	800.7	767.0	834.4
	"Doniphan County, KS"	"20043"	843	77949	1081.5	766.3	712.9	819.6
	"Douglas County, KS"	"20045"	6893	1168789	589.8	672.4	656.2	688.6
	"Edwards County, KS"	"20047"	410	29457	1391.9	932.3	837.5	1027.0
	"Elk County, KS"	"20049"	426	26450	1610.6	892.1	798.0	986.1
	"Ellis County, KS"	"20051"	2442	288195	847.3	704.7	676.0	733.5
	"Ellsworth County, KS"	"20053"	842	63563	1324.7	820.1	762.3	878.0
	"Finney County, KS"	"20055"	2138	369343	578.9	695.0	664.9	725.1
	"Ford County, KS"	"20057"	2438	343177	710.4	755.0	724.3	785.7
	"Franklin County, KS"	"20059"	2619	257257	1018.0	850.6	817.6	883.7
	"Geary County, KS"	"20061"	2070	352530	587.2	869.1	830.8	907.4
	"Gove County, KS"	"20063"	359	26725	1343.3	697.9	617.1	778.8
	"Graham County, KS"	"20065"	350	25599	1367.2	727.5	642.0	813.1
	"Grant County, KS"	"20067"	562	76873	731.1	789.7	723.7	855.8
	"Gray County, KS"	"20069"	510	60386	844.6	726.5	662.2	790.8
	"Greeley County, KS"	"20071"	207	12728	1626.3	967.5	821.1	1113.9
	"Greenwood County, KS"	"20073"	990	63094	1569.1	932.1	868.7	995.4
	"Hamilton County, KS"	"20075"	267	26003	1026.8	1000.4	879.5	1121.3
	"Harper County, KS"	"20077"	906	57650	1571.6	940.2	874.7	1005.8
	"Harvey County, KS"	"20079"	4046	347112	1165.6	758.0	733.5	782.6
	"Haskell County, KS"	"20081"	285	41132	692.9	686.5	606.1	767.0
	"Hodgeman County, KS"	"20083"	218	18928	1151.7	676.8	579.5	774.0
	"Jackson County, KS"	"20085"	1340	133647	1002.6	766.9	725.1	808.8
	"Jefferson County, KS"	"20087"	1842	189523	971.9	745.4	710.4	780.3
	"Jewell County, KS"	"20089"	407	29749	1368.1	654.6	581.8	727.5
	"Johnson County, KS"	"20091"	37803	5754032	657.0	618.6	612.2	624.9
	"Kearny County, KS"	"20093"	377	39384	957.2	824.7	740.2	909.2
	"Kingman County, KS"	"20095"	1285	76092	1688.7	1028.2	968.3	1088.2
	"Kiowa County, KS"	"20097"	286	25157	1136.9	715.9	627.0	804.9
	"Labette County, KS"	"20099"	2679	207252	1292.6	927.6	891.1	964.0
	"Lane County, KS"	"20101"	271	16570	1635.5	946.2	827.1	1065.3
	"Leavenworth County, KS"	"20103"	5979	791848	755.1	743.4	724.3	762.5
	"Lincoln County, KS"	"20105"	374	31150	1200.6	655.5	582.8	728.3
	"Linn County, KS"	"20107"	1126	96000	1172.9	797.3	748.7	846.0
	"Logan County, KS"	"20109"	357	28030	1273.6	734.4	652.3	816.5
	"Lyon County, KS"	"20111"	2872	334766	857.9	756.5	728.1	784.9
	"McPherson County, KS"	"20113"	3728	290119	1285.0	773.9	747.3	800.4
	"Marion County, KS"	"20115"	1670	122007	1368.8	757.1	717.8	796.4
	"Marshall County, KS"	"20117"	1338	99098	1350.2	749.4	706.1	792.8
	"Meade County, KS"	"20119"	504	43230	1165.9	771.8	699.7	843.9
	"Miami County, KS"	"20121"	2861	330666	865.2	723.1	696.2	750.0
	"Mitchell County, KS"	"20123"	879	62467	1407.1	769.8	714.8	824.7
	"Montgomery County, KS"	"20125"	4412	335763	1314.0	926.2	897.8	954.6
	"Morris County, KS"	"20127"	775	56918	1361.6	731.2	675.5	787.0
	"Morton County, KS"	"20129"	386	29702	1299.6	872.8	779.8	965.8
	"Nemaha County, KS"	"20131"	1332	101704	1309.7	707.1	665.3	748.9
	"Neosho County, KS"	"20133"	2032	162678	1249.1	855.7	817.1	894.4
	"Ness County, KS"	"20135"	457	29899	1528.5	767.9	689.2	846.6
	"Norton County, KS"	"20137"	640	55375	1155.8	727.0	666.9	787.1
	"Osage County, KS"	"20139"	1861	160173	1161.9	829.7	791.0	868.4
	"Osborne County, KS"	"20141"	606	36916	1641.6	833.6	757.9	909.4
	"Ottawa County, KS"	"20143"	710	59653	1190.2	862.5	797.5	927.6
	"Pawnee County, KS"	"20145"	824	68036	1211.1	798.3	741.8	854.9
	"Phillips County, KS"	"20147"	760	54566	1392.8	823.1	760.2	886.0
	"Pottawatomie County, KS"	"20149"	1706	230941	738.7	688.8	655.7	721.9
	"Pratt County, KS"	"20151"	1212	96152	1260.5	819.4	769.9	868.9
	"Rawlins County, KS"	"20153"	398	25354	1569.8	742.0	660.0	824.0
	"Reno County, KS"	"20155"	7399	635328	1164.6	798.3	779.4	817.3
	"Republic County, KS"	"20157"	879	47783	1839.6	866.1	798.4	933.8
	"Rice County, KS"	"20159"	1267	98706	1283.6	902.5	851.0	954.1
	"Riley County, KS"	"20161"	3479	740905	469.6	646.8	624.5	669.0
	"Rooks County, KS"	"20163"	660	51157	1290.1	784.2	720.4	848.0
	"Rush County, KS"	"20165"	553	31568	1751.8	887.2	803.6	970.9
	"Russell County, KS"	"20167"	941	69466	1354.6	762.0	709.2	814.8
	"Saline County, KS"	"20169"	5489	553125	992.4	774.4	753.4	795.4
	"Scott County, KS"	"20171"	540	49575	1089.3	736.5	671.1	801.9
	"Sedgwick County, KS"	"20173"	43139	5084453	848.4	804.9	797.2	812.6
	"Seward County, KS"	"20175"	1312	227910	575.7	725.4	685.5	765.3
	"Shawnee County, KS"	"20177"	18329	1782535	1028.3	807.5	795.5	819.5
	"Sheridan County, KS"	"20179"	307	25340	1211.5	657.2	575.7	738.6
	"Sherman County, KS"	"20181"	709	60096	1179.8	811.4	749.1	873.6
	"Smith County, KS"	"20183"	619	37117	1667.7	761.6	691.5	831.7
	"Stafford County, KS"	"20185"	606	42807	1415.7	840.6	768.6	912.7
	"Stanton County, KS"	"20187"	195	21152	921.9	672.2	574.4	769.9
	"Stevens County, KS"	"20189"	487	56756	858.1	714.8	649.2	780.4
	"Sumner County, KS"	"20191"	2675	234510	1140.7	835.5	802.8	868.1
	"Thomas County, KS"	"20193"	783	78729	994.6	732.9	679.5	786.3
	"Trego County, KS"	"20195"	458	29078	1575.1	830.0	746.5	913.4
	"Wabaunsee County, KS"	"20197"	677	69737	970.8	727.0	670.8	783.2
	"Wallace County, KS"	"20199"	176	15164	1160.6	636.8	531.4	742.2
	"Washington County, KS"	"20201"	714	56084	1273.1	664.9	612.1	717.7
	"Wichita County, KS"	"20203"	240	21752	1103.3	722.7	625.0	820.4
	"Wilson County, KS"	"20205"	1203	89391	1345.8	906.9	853.0	960.9
	"Woodson County, KS"	"20207"	496	32005	1549.8	890.6	805.3	975.9
	"Wyandotte County, KS"	"20209"	13713	1620119	846.4	893.8	878.6	909.0
	"Adair County, KY"	"21001"	1979	190162	1040.7	855.1	816.7	893.5
	"Allen County, KY"	"21003"	2261	205642	1099.5	966.0	925.3	1006.6
	"Anderson County, KY"	"21005"	2156	220583	977.4	897.8	859.3	936.3
	"Ballard County, KY"	"21007"	1078	81579	1321.4	951.0	892.7	1009.3
	"Barren County, KY"	"21009"	4937	433037	1140.1	903.3	877.7	928.9
	"Bath County, KY"	"21011"	1463	121118	1207.9	1042.7	988.2	1097.2
	"Bell County, KY"	"21013"	3948	275211	1434.5	1148.6	1112.0	1185.3
	"Boone County, KY"	"21015"	8359	1266809	659.8	747.6	731.2	764.1
	"Bourbon County, KY"	"21017"	2186	200078	1092.6	853.7	817.2	890.2
	"Boyd County, KY"	"21019"	6236	484284	1287.7	964.3	939.9	988.7
	"Boyle County, KY"	"21021"	3272	294270	1111.9	827.4	798.4	856.5
	"Bracken County, KY"	"21023"	942	83847	1123.5	1004.1	938.7	1069.6
	"Breathitt County, KY"	"21025"	1929	133379	1446.3	1285.2	1226.0	1344.5
	"Breckinridge County, KY"	"21027"	2291	201269	1138.3	911.1	872.7	949.5
	"Bullitt County, KY"	"21029"	5861	780977	750.5	755.5	735.5	775.6
	"Butler County, KY"	"21031"	1545	128290	1204.3	956.1	907.5	1004.6
	"Caldwell County, KY"	"21033"	1698	127790	1328.7	952.9	906.3	999.6
	"Calloway County, KY"	"21035"	3929	382164	1028.1	875.7	847.8	903.7
	"Campbell County, KY"	"21037"	8522	918506	927.8	834.7	816.7	852.7
	"Carlisle County, KY"	"21039"	695	49271	1410.6	941.7	869.0	1014.4
	"Carroll County, KY"	"21041"	1328	107951	1230.2	1103.5	1043.3	1163.8
	"Carter County, KY"	"21043"	3216	272228	1181.4	995.4	960.2	1030.5
	"Casey County, KY"	"21045"	1940	159324	1217.6	945.4	902.3	988.5
	"Christian County, KY"	"21047"	6057	729598	830.2	920.2	896.7	943.7
	"Clark County, KY"	"21049"	4114	358443	1147.7	955.1	925.4	984.7
	"Clay County, KY"	"21051"	2679	209668	1277.7	1221.0	1173.7	1268.3
	"Clinton County, KY"	"21053"	1318	102120	1290.6	1045.9	987.7	1104.1
	"Crittenden County, KY"	"21055"	1281	91586	1398.7	1014.1	957.0	1071.1
	"Cumberland County, KY"	"21057"	1025	67517	1518.1	1050.5	983.8	1117.1
	"Daviess County, KY"	"21059"	10386	990152	1048.9	847.8	831.3	864.4
	"Edmonson County, KY"	"21061"	1399	121168	1154.6	864.8	818.3	911.3
	"Elliott County, KY"	"21063"	752	76432	983.9	793.9	735.9	852.0
	"Estill County, KY"	"21065"	1957	144029	1358.8	1160.8	1107.8	1213.8
	"Fayette County, KY"	"21067"	23003	3123914	736.4	759.7	749.7	769.7
	"Fleming County, KY"	"21069"	1762	145076	1214.5	1053.0	1002.8	1103.2
	"Floyd County, KY"	"21071"	5248	377014	1392.0	1200.4	1167.0	1233.7
	"Franklin County, KY"	"21073"	5342	501236	1065.8	887.8	863.6	912.0
	"Fulton County, KY"	"21075"	1012	63441	1595.2	1135.1	1063.1	1207.0
	"Gallatin County, KY"	"21077"	1010	86465	1168.1	1257.3	1176.3	1338.3
	"Garrard County, KY"	"21079"	1732	171761	1008.4	831.2	791.2	871.2
	"Grant County, KY"	"21081"	2336	248445	940.2	1012.3	970.0	1054.7
	"Graves County, KY"	"21083"	4599	373560	1231.1	946.7	918.8	974.5
	"Grayson County, KY"	"21085"	3239	261369	1239.2	1054.0	1017.0	1091.0
	"Green County, KY"	"21087"	1411	111141	1269.6	918.5	869.3	967.6
	"Greenup County, KY"	"21089"	4679	361154	1295.6	952.3	924.4	980.3
	"Hancock County, KY"	"21091"	840	87037	965.1	857.3	798.1	916.4
	"Hardin County, KY"	"21093"	8940	1079621	828.1	835.3	817.7	852.8
	"Harlan County, KY"	"21095"	4237	277546	1526.6	1240.2	1201.9	1278.5
	"Harrison County, KY"	"21097"	2268	187211	1211.5	993.1	951.4	1034.8
	"Hart County, KY"	"21099"	2132	185749	1147.8	984.3	941.8	1026.9
	"Henderson County, KY"	"21101"	5060	461372	1096.7	913.5	887.9	939.1
	"Henry County, KY"	"21103"	1767	156870	1126.4	954.3	908.8	999.8
	"Hickman County, KY"	"21105"	658	46479	1415.7	837.3	769.6	905.1
	"Hopkins County, KY"	"21107"	5954	460984	1291.6	1022.2	995.8	1048.7
	"Jackson County, KY"	"21109"	1655	133906	1235.9	1094.8	1040.6	1149.0
	"Jefferson County, KY"	"21111"	76775	7593095	1011.1	867.7	861.5	874.0
	"Jessamine County, KY"	"21113"	4421	513983	860.1	808.2	784.0	832.4
	"Johnson County, KY"	"21115"	3022	230167	1313.0	1115.8	1075.1	1156.5
	"Kenton County, KY"	"21117"	14785	1637316	903.0	882.6	868.2	897.1
	"Knott County, KY"	"21119"	2032	157087	1293.6	1116.3	1066.3	1166.4
	"Knox County, KY"	"21121"	3949	316187	1248.9	1073.4	1039.3	1107.6
	"Larue County, KY"	"21123"	1667	142150	1172.7	898.0	854.2	941.8
	"Laurel County, KY"	"21125"	6139	599244	1024.5	943.6	919.5	967.7
	"Lawrence County, KY"	"21127"	2078	157618	1318.4	1160.7	1109.3	1212.0
	"Lee County, KY"	"21129"	1058	72602	1457.3	1292.2	1211.7	1372.7
	"Leslie County, KY"	"21131"	1636	107253	1525.4	1265.2	1202.4	1327.9
	"Letcher County, KY"	"21133"	3292	231582	1421.5	1175.4	1134.0	1216.9
	"Lewis County, KY"	"21135"	1695	136264	1243.9	1028.2	978.1	1078.3
	"Lincoln County, KY"	"21137"	2916	245233	1189.1	983.7	947.4	1020.1
	"Livingston County, KY"	"21139"	1289	93481	1378.9	984.4	928.8	1040.1
	"Logan County, KY"	"21141"	3155	268670	1174.3	942.4	908.9	975.8
	"Lyon County, KY"	"21143"	1148	82539	1390.9	887.7	833.9	941.5
	"McCracken County, KY"	"21145"	8085	653996	1236.2	894.1	874.1	914.2
	"McCreary County, KY"	"21147"	2111	178005	1185.9	1139.1	1089.1	1189.1
	"McLean County, KY"	"21149"	1201	94185	1275.1	951.9	896.8	1007.0
	"Madison County, KY"	"21151"	7437	878772	846.3	871.1	851.0	891.2
	"Magoffin County, KY"	"21153"	1582	128006	1235.9	1125.5	1068.5	1182.4
	"Marion County, KY"	"21155"	2096	196586	1066.2	900.3	861.1	939.6
	"Marshall County, KY"	"21157"	4238	312299	1357.0	939.0	909.9	968.2
	"Martin County, KY"	"21159"	1409	121886	1156.0	1070.2	1013.4	1127.1
	"Mason County, KY"	"21161"	2213	172782	1280.8	1043.8	999.5	1088.0
	"Meade County, KY"	"21163"	2423	287241	843.5	882.4	846.3	918.4
	"Menifee County, KY"	"21165"	799	63579	1256.7	981.4	911.1	1051.7
	"Mercer County, KY"	"21167"	2661	214654	1239.7	951.8	914.9	988.8
	"Metcalfe County, KY"	"21169"	1315	100249	1311.7	1028.3	971.5	1085.0
	"Monroe County, KY"	"21171"	1569	107388	1461.1	1163.8	1104.8	1222.9
	"Montgomery County, KY"	"21173"	2841	274536	1034.8	934.3	899.5	969.2
	"Morgan County, KY"	"21175"	1438	134632	1068.1	963.7	913.0	1014.3
	"Muhlenberg County, KY"	"21177"	3847	310761	1237.9	962.7	931.7	993.6
	"Nelson County, KY"	"21179"	4030	449491	896.6	868.0	840.6	895.3
	"Nicholas County, KY"	"21181"	997	71066	1402.9	1144.6	1072.4	1216.8
	"Ohio County, KY"	"21183"	2784	240842	1155.9	943.5	907.8	979.1
	"Oldham County, KY"	"21185"	3923	638343	614.6	721.4	697.8	744.9
	"Owen County, KY"	"21187"	1159	107689	1076.2	924.7	870.1	979.3
	"Owsley County, KY"	"21189"	773	45733	1690.2	1325.4	1229.0	1421.8
	"Pendleton County, KY"	"21191"	1552	145902	1063.7	974.7	925.1	1024.3
	"Perry County, KY"	"21193"	4256	274622	1549.8	1355.5	1313.7	1397.2
	"Pike County, KY"	"21195"	8181	618028	1323.7	1109.9	1085.2	1134.5
	"Powell County, KY"	"21197"	1724	124427	1385.6	1307.4	1243.5	1371.3
	"Pulaski County, KY"	"21199"	8064	639834	1260.3	1014.1	991.4	1036.7
	"Robertson County, KY"	"21201"	351	21801	1610.0	1059.1	942.8	1175.3
	"Rockcastle County, KY"	"21203"	2035	168585	1207.1	1036.3	990.0	1082.6
	"Rowan County, KY"	"21205"	2266	239447	946.3	958.6	918.6	998.7
	"Russell County, KY"	"21207"	2398	177101	1354.0	1008.5	967.1	1049.9
	"Scott County, KY"	"21209"	3669	519910	705.7	843.5	815.4	871.7
	"Shelby County, KY"	"21211"	3617	454850	795.2	774.9	749.1	800.6
	"Simpson County, KY"	"21213"	1996	179160	1114.1	960.7	917.9	1003.5
	"Spencer County, KY"	"21215"	1387	179980	770.6	852.5	805.4	899.6
	"Taylor County, KY"	"21217"	2942	251447	1170.0	948.1	913.1	983.0
	"Todd County, KY"	"21219"	1338	124271	1076.7	949.9	898.5	1001.4
	"Trigg County, KY"	"21221"	1705	143761	1186.0	861.8	819.2	904.4
	"Trimble County, KY"	"21223"	943	86859	1085.7	950.6	888.5	1012.7
	"Union County, KY"	"21225"	1675	148602	1127.2	1007.1	958.0	1056.2
	"Warren County, KY"	"21227"	9784	1226637	797.6	842.2	825.3	859.1
	"Washington County, KY"	"21229"	1371	119787	1144.5	874.8	827.5	922.1
	"Wayne County, KY"	"21231"	2352	206204	1140.6	897.0	859.8	934.3
	"Webster County, KY"	"21233"	1677	133117	1259.8	1010.1	960.8	1059.3
	"Whitley County, KY"	"21235"	4831	359173	1345.0	1220.4	1185.4	1255.5
	"Wolfe County, KY"	"21237"	1076	72339	1487.4	1237.3	1161.0	1313.6
	"Woodford County, KY"	"21239"	2369	257351	920.5	796.8	763.9	829.6
	"Acadia Parish, LA"	"22001"	6553	622404	1052.9	976.5	952.6	1000.5
	"Allen Parish, LA"	"22003"	2589	256530	1009.2	943.5	906.9	980.2
	"Ascension Parish, LA"	"22005"	7118	1176174	605.2	749.9	731.8	768.0
	"Assumption Parish, LA"	"22007"	2198	228075	963.7	813.6	778.8	848.3
	"Avoyelles Parish, LA"	"22009"	4977	411850	1208.4	1021.7	992.9	1050.4
	"Beauregard Parish, LA"	"22011"	3621	365496	990.7	934.6	903.6	965.6
	"Bienville Parish, LA"	"22013"	2025	138468	1462.4	1021.2	975.0	1067.4
	"Bossier Parish, LA"	"22015"	10199	1240885	821.9	812.2	796.3	828.1
	"Caddo Parish, LA"	"22017"	27530	2506621	1098.3	933.5	922.3	944.8
	"Calcasieu Parish, LA"	"22019"	19838	1982235	1000.8	946.9	933.5	960.2
	"Caldwell Parish, LA"	"22021"	1278	99984	1278.2	1069.2	1009.6	1128.8
	"Cameron Parish, LA"	"22023"	461	68246	675.5	612.1	554.9	669.2
	"Catahoula Parish, LA"	"22025"	1299	100458	1293.1	1108.5	1047.0	1170.0
	"Claiborne Parish, LA"	"22027"	1916	164009	1168.2	889.7	849.1	930.3
	"Concordia Parish, LA"	"22029"	2466	201730	1222.4	1032.6	991.1	1074.0
	"De Soto Parish, LA"	"22031"	2942	271096	1085.2	910.2	876.7	943.7
	"East Baton Rouge Parish, LA"	"22033"	37571	4438477	846.5	853.5	844.8	862.3
	"East Carroll Parish, LA"	"22035"	856	73533	1164.1	1092.9	1019.0	1166.8
	"East Feliciana Parish, LA"	"22037"	2424	197164	1229.4	1079.4	1035.1	1123.8
	"Evangeline Parish, LA"	"22039"	3719	336866	1104.0	1031.1	997.5	1064.7
	"Franklin Parish, LA"	"22041"	2712	204296	1327.5	1040.8	1000.9	1080.8
	"Grant Parish, LA"	"22043"	2150	222837	964.8	937.9	897.6	978.2
	"Iberia Parish, LA"	"22045"	7319	728753	1004.3	966.1	943.7	988.6
	"Iberville Parish, LA"	"22047"	3270	330813	988.5	904.5	873.0	936.0
	"Jackson Parish, LA"	"22049"	1895	160077	1183.8	887.5	846.6	928.3
	"Jefferson Parish, LA"	"22051"	41633	4347729	957.6	806.8	798.9	814.7
	"Jefferson Davis Parish, LA"	"22053"	3793	314777	1205.0	1023.3	990.3	1056.3
	"Lafayette Parish, LA"	"22055"	17300	2350665	736.0	782.5	770.7	794.4
	"Lafourche Parish, LA"	"22057"	8862	975959	908.0	836.9	819.2	854.5
	"LaSalle Parish, LA"	"22059"	1662	149186	1114.0	954.3	907.9	1000.7
	"Lincoln Parish, LA"	"22061"	3782	472776	800.0	822.1	795.4	848.8
	"Livingston Parish, LA"	"22063"	10474	1356533	772.1	866.5	849.4	883.6
	"Madison Parish, LA"	"22065"	1336	116491	1146.9	1110.3	1049.9	1170.8
	"Morehouse Parish, LA"	"22067"	3762	265342	1417.8	1119.3	1082.7	1155.9
	"Natchitoches Parish, LA"	"22069"	3976	390927	1017.1	910.7	881.9	939.6
	"Orleans Parish, LA"	"22071"	31809	3792408	838.8	817.5	808.3	826.7
	"Ouachita Parish, LA"	"22073"	15421	1553919	992.4	939.3	924.3	954.3
	"Plaquemines Parish, LA"	"22075"	1819	234502	775.7	789.0	752.3	825.7
	"Pointe Coupee Parish, LA"	"22077"	2573	223484	1151.3	887.8	852.4	923.1
	"Rapides Parish, LA"	"22079"	14417	1317994	1093.9	961.8	945.9	977.7
	"Red River Parish, LA"	"22081"	1068	87125	1225.8	1002.6	941.1	1064.1
	"Richland Parish, LA"	"22083"	2355	205859	1144.0	976.8	936.7	1016.9
	"Sabine Parish, LA"	"22085"	2838	241615	1174.6	898.7	864.6	932.7
	"St. Bernard Parish, LA"	"22087"	3432	436244	786.7	920.0	888.2	951.8
	"St. Charles Parish, LA"	"22089"	4125	527803	781.5	838.6	812.4	864.8
	"St. Helena Parish, LA"	"22091"	1258	106553	1180.6	964.8	909.9	1019.7
	"St. James Parish, LA"	"22093"	1978	215622	917.3	820.3	783.4	857.2
	"St. John the Baptist Parish, LA"	"22095"	4027	440128	915.0	941.3	911.5	971.1
	"St. Landry Parish, LA"	"22097"	9764	833877	1170.9	1050.0	1028.9	1071.2
	"St. Martin Parish, LA"	"22099"	4761	533119	893.0	867.5	842.4	892.7
	"St. Mary Parish, LA"	"22101"	5536	524260	1056.0	943.6	918.4	968.8
	"St. Tammany Parish, LA"	"22103"	21462	2476687	866.6	779.8	769.2	790.4
	"Tangipahoa Parish, LA"	"22105"	12027	1280067	939.6	959.6	942.1	977.2
	"Tensas Parish, LA"	"22107"	582	47758	1218.6	871.4	796.1	946.7
	"Terrebonne Parish, LA"	"22109"	10252	1122507	913.3	917.3	899.3	935.4
	"Union Parish, LA"	"22111"	2702	224728	1202.3	913.7	878.2	949.2
	"Vermilion Parish, LA"	"22113"	5636	593424	949.7	855.7	833.1	878.3
	"Vernon Parish, LA"	"22115"	3964	511435	775.1	933.2	903.6	962.7
	"Washington Parish, LA"	"22117"	5879	465772	1262.2	1065.2	1037.3	1093.0
	"Webster Parish, LA"	"22119"	5214	400693	1301.2	978.2	951.0	1005.3
	"West Baton Rouge Parish, LA"	"22121"	2024	252103	802.8	807.1	771.3	842.9
	"West Carroll Parish, LA"	"22123"	1400	112875	1240.3	970.4	918.6	1022.2
	"West Feliciana Parish, LA"	"22125"	1282	154477	829.9	762.7	719.2	806.3
	"Winn Parish, LA"	"22127"	1717	146242	1174.1	955.5	909.6	1001.4
	"Androscoggin County, ME"	"23001"	11129	1075912	1034.4	832.6	816.8	848.3
